,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Brunei Darussalam,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Cabo Verde,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Guatemala,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,South Korea,Kuwait,Lao PDR,Lebanon,Liberia,Libya,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Moldova,Madagascar,Mexico,North Macedonia,Mali,Malta,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,Namibia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Portugal,Paraguay,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Singapore,Sierra Leone,El Salvador,Somalia,Serbia,South Sudan,Slovak Republic,Slovenia,Sweden,Eswatini,Seychelles,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Venezuela,Vietnam,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,2590972643.2280703,242046853.11304006,459760073.6,91559097.96,1059660195.7896296,33245873.961339626,383220247.4,1301005.322,1268378.23,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,189516764.13561115,382729752.1,283530715.39828575,204486100.63885713,26599344.803181823,1702442711.0,200093758.2,126791042.6,78945729464.93333,175018483.63605884,181903358.97000003,153011269.19365388,134846056.58562502,75960813.87,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,2884517772.0,28255796.372094836,161137605.4,38300000.0,2541227046.065357,22400000.0,2509509852.0929823,165762484.37454545,232839815.9,277144564.6073077,15335262.65,89557618.81,28971935.233628575,3881219690.0,107904094.5128857,4587798165.0,309743222.73608696,20821777.35,81155577.53531249,4781586.06163125,9945229.852124998,150228171.9597143,170327798.1,12084076.43,22638302.94095349,3920000.0,1052664836.5296296,1240439.2150507146,880426495.727451,2948731042.4444447,681765681.8,25800590.11,98679867.99,118726952.5,0.0,190277777.8,1009308856.0,68977290.34500001,56139977.54,480555555.6,989383299.6760001,285316060.0486428,62036225.055199996,152071972.5534483,275643564.4,3268281165.027234,36475125.91862069,22906905.2,13715116.279069768,5571997.771000001,16653016.65,28281444.93651162,314590871.15576917,5260312.876,243480784.6242307,41596762.37,18666471.791708335,1604193.5890000002,84000000.0,122733525.87652174,75469633.77548213,38464042.715294115,89512589.51,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,8923552.56747059,24499556.464500003,51286741.89,235407209.33678573,48266213.25814285,23379990.65,66423765.67493025,454719432.1,148119940.8,102043803.8082857,101219676.1,2486926956.3791666,208845208.8,39584375.0,49085687.49,123821340.0,51078391.16768292,3550000000.0,105157457.3,7088541.594,1140566400.0049999,740833333.3,39031926586.11539,56391167.33989129,140888888.9,18667432.51,135730807.95100003,3792009370.6551023,16542734.571107136,4384473.695,38047142.85714286,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,526848900.4,38166164.85047619,13979386.663911765,90223463.69,178894013.42088237,31706124.514914285,62825161.22,37223390.9599,94894840.09833331,25717428.57142857,78299314.53426471,15952380.95,468810916.2,210843555.17076924,161789308.25479475,2602827590.411538,480481547.6065958,45380000000.0,123869204.66444445,234357740.4,2180474579.2083335,44163060.89136363,1042873981.8879999,69999972.0,182426444.52066663,269413352.9411765
1961,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,2590972643.2280703,242046853.11304006,470960075.4,91029854.62,1059660195.7896296,33245873.961339626,391218827.4,2173203.9469999997,1643154.2040000001,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,4935417.964,342339720.8,283530715.39828575,204486100.63885713,26599344.803181823,1677820881.0,237368366.9,160930923.5,78945729464.93333,175018483.63605884,181903358.97000003,153011269.19365388,134846056.58562502,97313432.84,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,3266495653.0,28255796.372094836,170837712.9,36300000.0,2541227046.065357,18700000.0,2509509852.0929823,165762484.37454545,239348772.1,277144564.6073077,18555265.31,105350974.8,28971935.233628575,4131003787.0,107904094.5128857,4747398101.0,309743222.73608696,27454210.3,81155577.53531249,4781586.06163125,9945229.852124998,150228171.9597143,167762365.8,12084076.43,22638302.94095349,3830000.0,1052664836.5296296,1240439.2150507146,880426495.727451,2948731042.4444447,748388248.4,27564733.02,105940594.1,125481949.8,0.0,241805555.6,1062907313.0,68977290.34500001,55509977.8,492361111.1,989383299.6760001,285316060.0486428,62036225.055199996,152071972.5534483,157061350.1,3268281165.027234,36475125.91862069,27837147.81,13715116.279069768,7167997.132999999,17083517.08,28281444.93651162,314590871.15576917,5800866.499,243480784.6242307,48275957.47,18666471.791708335,8482781.25,86400000.0,122733525.87652174,3922368.099,38464042.715294115,85617085.62,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,8923552.56747059,24499556.464500003,42466728.95,235407209.33678573,48266213.25814285,28279988.69,66423765.67493025,551530519.8,165059934.0,102043803.8082857,96678751.22,2486926956.3791666,210105210.1,39584375.0,63020431.3,128712871.3,51078391.16768292,4025000000.0,171194666.8,7187461.316000001,1140566400.0049999,794666666.7,39031926586.11539,56391167.33989129,71555555.56,20505456.63,135730807.95100003,3792009370.6551023,1930599.2280000001,4441787.077,3160000.0,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,564736401.6,38166164.85047619,13979386.663911765,90223463.69,178894013.42088237,326999.9185,58741404.86,37223390.9599,94894840.09833331,25717428.57142857,78299314.53426471,18571428.57,301330376.9,210843555.17076924,161789308.25479475,2602827590.411538,480481547.6065958,47808000000.0,123869204.66444445,114632682.9,2180474579.2083335,44163060.89136363,1042873981.8879999,113749954.5,182426444.52066663,269413352.9411765
1962,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,305162407.2,242046853.11304006,489440078.3,100026991.4,1059660195.7896296,8420000.0,422220787.9,2734537.6180000002,4901760.716,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,5195618.571,387449035.5,283530715.39828575,204486100.63885713,26599344.803181823,1671313753.0,273728261.2,162626224.4,78945729464.93333,8766845.976,181903358.97000003,153011269.19365388,134846056.58562502,153596253.4,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,4308248214.0,28255796.372094836,224550248.0,38000000.0,2541227046.065357,18300000.0,249697766.8,165762484.37454545,308791693.5,277144564.6073077,20185391.65,154403280.6,28971935.233628575,4493323590.0,107904094.5128857,5005697998.0,309743222.73608696,27944464.05,81155577.53531249,4781586.06163125,9945229.852124998,150228171.9597143,170034222.7,11954140.13,22638302.94095349,3830000.0,1052664836.5296296,1240439.2150507146,880426495.727451,2948731042.4444447,1065436065.0,29163487.53,109900990.1,135064946.0,0.0,210604174.5,1222013656.0,68977290.34500001,60409975.84,538194444.4,989383299.6760001,285316060.0486428,62036225.055199996,152071972.5534483,186153846.2,3268281165.027234,36475125.91862069,40876824.5,13715116.279069768,16687993.32,15849765.85,28281444.93651162,314590871.15576917,7099970.149,243480784.6242307,53848540.36,18666471.791708335,9179552.203,99200000.0,122733525.87652174,4342608.994,38464042.715294115,90704340.7,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,8923552.56747059,24499556.464500003,43773397.53,235407209.33678573,48266213.25814285,38639984.54,66423765.67493025,603866851.7,191939923.2,102043803.8082857,96323106.14,2486926956.3791666,200340200.3,39584375.0,66368381.8,82889601.24,51078391.16768292,4375000000.0,199785222.2,8276810.921,1140566400.0049999,902000000.0,39031926586.11539,56391167.33989129,84222222.22,24842044.8,135730807.95100003,3792009370.6551023,1983799.206,6218501.908,3700000.0,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,636258725.2,38166164.85047619,13979386.663911765,149593495.9,178894013.42088237,714244.9003,80303734.18,37223390.9599,94894840.09833331,25717428.57142857,78299314.53426471,14285714.29,330376940.1,210843555.17076924,727985.4403,2602827590.411538,480481547.6065958,52381000000.0,123869204.66444445,203900682.8,2180474579.2083335,44163060.89136363,1042873981.8879999,186199925.5,182426444.52066663,269413352.9411765
1963,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,242219771.2,242046853.11304006,553280088.5,125959915.1,1059660195.7896296,1012000.0,444601321.5,2963071.7989999996,5281287.7530000005,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,6404292.357999999,441999606.2,283530715.39828575,204486100.63885713,26599344.803181823,1610091701.0,294995369.3,152917455.4,78945729464.93333,8064779.443,181903358.97000003,58217821.78,134846056.58562502,170000000.0,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,4981004024.0,28255796.372094836,239028020.3,39000000.0,66436300.15,17100000.0,335799697.8,165762484.37454545,316520311.1,277144564.6073077,27289522.51,128576498.4,28971935.233628575,4628060852.0,107904094.5128857,5196797921.0,309743222.73608696,31096095.34,81155577.53531249,4781586.06163125,9945229.852124998,150228171.9597143,179495712.8,14812738.85,22638302.94095349,3820000.0,1052664836.5296296,1240439.2150507146,880426495.727451,2948731042.4444447,1795449295.0,30210947.39,128712871.3,163218934.7,0.0,259250864.2,1463283724.0,68977290.34500001,61879975.25,629861111.1,989383299.6760001,1861999.255,62036225.055199996,152071972.5534483,185384615.4,3268281165.027234,36475125.91862069,33900603.43,13715116.279069768,18675992.53,13917763.92,28281444.93651162,314590871.15576917,6962653.392000001,243480784.6242307,74893933.2,18666471.791708335,8956747.537999999,112000000.0,122733525.87652174,4375224.475,38464042.715294115,100322350.3,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,8923552.56747059,24499556.464500003,60760089.11,235407209.33678573,48266213.25814285,45499981.8,66423765.67493025,637373073.3,205099918.0,102043803.8082857,100042547.6,2486926956.3791666,219660219.7,39584375.0,97315436.24,94235401.82,51078391.16768292,4950000000.0,199087891.6,9208934.811,1140566400.0049999,904833333.3,39031926586.11539,56391167.33989129,113777777.8,28144744.4,135730807.95100003,3792009370.6551023,2155999.1380000003,6103875.145,4480000.0,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,697922566.5,38166164.85047619,13979386.663911765,1428084849.244706,178894013.42088237,1134619.78,85501269.8,37223390.9599,94894840.09833331,25717428.57142857,78299314.53426471,15238095.24,350000000.0,210843555.17076924,2729945.401,2602827590.411538,480481547.6065958,52295000000.0,123869204.66444445,245397307.8,2180474579.2083335,44163060.89136363,1042873981.8879999,188999924.4,182426444.52066663,269413352.9411765
1964,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,245740498.0,242046853.11304006,655760104.9,164594679.0,1059660195.7896296,1162000.0,497059226.9,3803662.454,5358593.135,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,189516764.13561115,354227857.1,283530715.39828575,204486100.63885713,26599344.803181823,1657457283.0,329525835.0,149950377.7,78945729464.93333,11190603.48,181903358.97000003,49818181.82,134846056.58562502,190000000.0,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,4888248899.0,28255796.372094836,255387903.0,42500000.0,99856999.91,20600000.0,448499596.4,165762484.37454545,386820000.7,277144564.6073077,36140000.0,139910553.9,28971935.233628575,4917956554.0,107904094.5128857,5508997796.0,309743222.73608696,33302237.24,81155577.53531249,4781586.06163125,9945229.852124998,150228171.9597143,188207553.1,12993630.57,22638302.94095349,5850000.0,1052664836.5296296,1240439.2150507146,880426495.727451,2948731042.4444447,1986654487.0,36054670.79,155445544.6,185198925.9,0.0,278584261.9,1586666708.0,68977290.34500001,61879975.25,718055555.6,989383299.6760001,5879997.647999999,62036225.055199996,152071972.5534483,137481470.4,3268281165.027234,36475125.91862069,38065368.32,13715116.279069768,21475991.41,13938763.94,28281444.93651162,314590871.15576917,9278159.213,243480784.6242307,69993222.0,18666471.791708335,9455019.788999999,120000000.0,122733525.87652174,5174939.905,38464042.715294115,97912597.91,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,8923552.56747059,24499556.464500003,84606790.76,235407209.33678573,48266213.25814285,54319978.27,66423765.67493025,735383641.4,219799912.1,102043803.8082857,123402030.6,2486926956.3791666,257880257.9,39584375.0,120432513.0,93605898.71,51078391.16768292,5200000000.0,224400993.0,9815376.859,1140566400.0049999,949166666.7,39031926586.11539,56391167.33989129,123555555.6,41872487.08,135730807.95100003,3792009370.6551023,2353399.059,5724173.991,5420000.0,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,758619889.8,38166164.85047619,13979386.663911765,112041884.8,178894013.42088237,3383300.6160000004,87235576.92,37223390.9599,94894840.09833331,25717428.57142857,78299314.53426471,17478991.6,380897803.7,210843555.17076924,5487890.242000001,2602827590.411538,480481547.6065958,51213000000.0,123869204.66444445,200459770.1,2180474579.2083335,44163060.89136363,1042873981.8879999,271599891.4,182426444.52066663,269413352.9411765
1965,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,252407602.9,242046853.11304006,787360126.0,142895702.0,1059660195.7896296,2153481.481,500722082.8,3994923.713,3509330.33,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,189516764.13561115,632869026.5,283530715.39828575,204486100.63885713,26599344.803181823,1574704540.0,343475228.4,168215772.4,78945729464.93333,12902909.89,181903358.97000003,78909090.91,134846056.58562502,185202864.0,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,4978559240.0,28255796.372094836,285791224.7,40200000.0,105528391.4,23800000.0,515199536.3,165762484.37454545,439425746.0,277144564.6073077,42900000.0,149572371.7,28971935.233628575,5124506743.0,107904094.5128857,5791097684.0,309743222.73608696,35578415.39,10492201.74,4781586.06163125,9945229.852124998,150228171.9597143,209674799.6,18580891.72,22638302.94095349,6250000.0,1052664836.5296296,1240439.2150507146,880426495.727451,2948731042.4444447,2125989626.0,39086791.42,200000000.0,225742909.7,0.0,313917713.1,1719942315.0,68977290.34500001,62929974.83,821388888.9,989383299.6760001,9897996.041000001,62036225.055199996,152071972.5534483,132131636.1,3268281165.027234,36475125.91862069,44598531.83,2700000.0,29119988.35,14474264.47,28281444.93651162,314590871.15576917,9520198.149,243480784.6242307,63175700.38,18666471.791708335,10710827.9,119200000.0,122733525.87652174,4647822.379,38464042.715294115,107241857.2,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,8923552.56747059,1771001.771,118580173.9,235407209.33678573,48266213.25814285,65939973.62,66423765.67493025,749993912.4,265579893.8,102043803.8082857,126982427.6,2486926956.3791666,439635439.6,39584375.0,132736763.6,93114395.13,51078391.16768292,5525000000.0,232350562.0,11679624.64,1140566400.0049999,1034000000.0,39031926586.11539,56391167.33989129,177777777.8,56375646.18,135730807.95100003,3792009370.6551023,2505998.998,6483576.2979999995,5170000.0,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,844543330.0,38166164.85047619,13979386.663911765,118062827.2,178894013.42088237,3362428.13,94266826.92,37223390.9599,94894840.09833331,25717428.57142857,78299314.53426471,12761904.76,422676991.2,210843555.17076924,10737785.24,2602827590.411538,480481547.6065958,51827000000.0,123869204.66444445,227272727.3,2180474579.2083335,44163060.89136363,1042873981.8879999,289449884.2,182426444.52066663,15600000.0
1966,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,279225436.3,242046853.11304006,986720157.9,167770139.0,1059660195.7896296,2286857.143,563377895.4,3724387.2060000002,3907553.79,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,189516764.13561115,718216574.6,283530715.39828575,204486100.63885713,26599344.803181823,1614422827.0,378234372.7,186697964.8,78945729464.93333,13269401.41,181903358.97000003,78363636.36,134846056.58562502,172592592.6,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,5063637742.0,28255796.372094836,301137663.3,37200000.0,104515642.9,22900000.0,481849566.3,165762484.37454545,560943076.5,277144564.6073077,43420000.0,152916847.1,28971935.233628575,5414601741.0,107904094.5128857,5984997606.0,309743222.73608696,47344505.52,13895077.98,4781586.06163125,9945229.852124998,150228171.9597143,238979294.9,19100636.94,22638302.94095349,6500000.0,1052664836.5296296,1240439.2150507146,880426495.727451,2948731042.4444447,1661154906.0,38314978.9,256105610.6,234996906.0,0.0,375501251.7,1904604599.0,68977290.34500001,76089969.56,932430555.6,989383299.6760001,13047994.78,62036225.055199996,152071972.5534483,176901786.3,3268281165.027234,36475125.91862069,51425377.31,2800000.0,58519976.59,15282765.28,28281444.93651162,314590871.15576917,9923596.376,243480784.6242307,67938085.05,18666471.791708335,11342782.95,130400000.0,122733525.87652174,4636149.757,38464042.715294115,105456855.5,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,8923552.56747059,1848001.8480000002,148633551.3,235407209.33678573,48266213.25814285,55719977.71,66423765.67493025,770691796.3,272579891.0,102043803.8082857,148221481.3,2486926956.3791666,549675549.7,39584375.0,145041014.2,109615384.6,51078391.16768292,5975000000.0,257175532.1,13588794.05,1140566400.0049999,1076000000.0,39031926586.11539,56391167.33989129,300444444.4,50315910.4,135730807.95100003,3792009370.6551023,2539598.984,6591038.8889999995,6500000.0,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,906980385.5,38166164.85047619,13979386.663911765,102356020.9,178894013.42088237,2889961.6569999997,105540865.4,37223390.9599,94894840.09833331,25717428.57142857,78299314.53426471,13714285.71,442035398.2,210843555.17076924,14265714.69,2602827590.411538,480481547.6065958,63572000000.0,123869204.66444445,238636363.6,2180474579.2083335,44163060.89136363,1042873981.8879999,324449870.2,182426444.52066663,16950000.0
1967,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,251930719.1,242046853.11304006,1197840192.0,176767275.8,1059660195.7896296,2376000.0,607918707.2,3910553.209,3695106.93,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,189516764.13561115,746139163.6,283530715.39828575,204486100.63885713,26599344.803181823,1775500366.0,383265301.5,182705341.3,78945729464.93333,14711322.31,181903358.97000003,45907648.68,134846056.58562502,178541885.0,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,5352122317.0,28255796.372094836,323292901.4,35800000.0,99249350.83,25300000.0,508299542.5,165762484.37454545,545917155.9,277144564.6073077,37000000.0,146661680.3,28971935.233628575,5856108417.0,3008117.853,6200583812.0,309743222.73608696,85134538.42568965,81155577.53531249,4781586.06163125,9945229.852124998,150228171.9597143,313035616.3,21179617.83,22638302.94095349,6800000.0,1052664836.5296296,1240439.2150507146,880426495.727451,2948731042.4444447,1487733333.0,39693241.93,331023102.3,234541906.2,0.0,605514168.1,1928786564.0,68977290.34500001,104719958.1,1039027778.0,989383299.6760001,15987993.6,62036225.055199996,152071972.5534483,218100895.7,3268281165.027234,35544791.67,57730955.03,3050000.0,79519968.19,15711432.16,28281444.93651162,314590871.15576917,8229323.824,243480784.6242307,70348918.78,18666471.791708335,12112471.79,133600000.0,122733525.87652174,5081280.157,38464042.715294115,102039102.0,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,8923552.56747059,2133370.892,143406877.0,235407209.33678573,48266213.25814285,239959904.0,66423765.67493025,883921396.7,293579882.6,102043803.8082857,149591230.9,2486926956.3791666,478275478.3,39584375.0,243980653.5,129487179.5,51078391.16768292,6275000000.0,333045103.3,14936443.05,1140566400.0049999,1123833333.0,39031926586.11539,56391167.33989129,336222222.2,52268811.03,135730807.95100003,3792009370.6551023,2883153.5730000003,6777307.379,7530000.0,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,921961412.7,38166164.85047619,13979386.663911765,118586387.4,178894013.42088237,3105678.432,126346153.8,37223390.9599,94894840.09833331,25717428.57142857,78299314.53426471,15428571.43,508407079.6,14629994.15,16841663.17,2602827590.411538,480481547.6065958,75448000000.0,123869204.66444445,270454545.5,2180474579.2083335,44163060.89136363,1042873981.8879999,373099850.8,182426444.52066663,19000000.0
1968,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,337142857.1,242046853.11304006,1321600211.0,182059709.2,1059660195.7896296,2590857.143,646381114.5,4293821.825,3760628.522,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,11583123.79,755307566.7,283530715.39828575,204486100.63885713,26599344.803181823,1797265817.0,373889479.6,173781024.3,78945729464.93333,15305071.4,181903358.97000003,50479041.92,134846056.58562502,141184847.8,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,4827481334.0,28255796.372094836,345466666.7,37300000.0,99249350.83,29300000.0,648599416.3,165762484.37454545,668753624.8,277144564.6073077,34660000.0,150060024.0,28971935.233628575,6129940876.0,2989113.97,5563195549.0,309743222.73608696,44271216.36,14178651.0,4781586.06163125,9945229.852124998,150228171.9597143,366771882.7,20400000.0,22638302.94095349,7050000.0,1052664836.5296296,1240439.2150507146,150166666.7,2948731042.4444447,1586866667.0,37141485.43,437293729.4,291437883.4,0.0,690001971.4,1991165044.0,68977290.34500001,127749948.9,1168194444.0,989383299.6760001,16365993.45,62036225.055199996,152071972.5534483,278696524.4,3268281165.027234,35461875.0,65572316.45,3050000.0,95479961.81,14305226.32,28281444.93651162,314590871.15576917,7479003.122,243480784.6242307,90900288.31,18666471.791708335,13044200.39,148800000.0,122733525.87652174,5251146.164,38464042.715294115,104590604.6,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,270900.2709,1881000.7519999999,148306884.2,235407209.33678573,48266213.25814285,369039852.4,6891062.971,905836803.3,321999871.2,102043803.8082857,135520021.7,2486926956.3791666,492555492.6,39584375.0,113178294.6,153846153.8,51078391.16768292,7225000000.0,371893392.1,16621004.29,1140566400.0049999,1255833333.0,39031926586.11539,56391167.33989129,338666666.7,57725445.15,135730807.95100003,3792009370.6551023,2658001.063,6619695.579,8340000.0,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,941001815.1,38166164.85047619,13979386.663911765,190052356.0,178894013.42088237,3288025.367,154639423.1,37223390.9599,94894840.09833331,25717428.57142857,5087500.0,17523809.52,570685840.7,16239993.5,19942601.15,2602827590.411538,480481547.6065958,80732000000.0,123869204.66444445,272727272.7,2180474579.2083335,44163060.89136363,1042873981.8879999,399699840.1,182426444.52066663,30600000.0
1969,154266783.67385715,1710053570.4073174,113124907.41444443,10606892116.38889,442857142.9,242046853.11304006,1314880210.0,193173819.4,1059660195.7896296,3337142.857,675078864.4,4015987.0130000003,4023680.475,878776132.8769565,661455290.32,472791606.90916663,199349170.51764706,518879212.8375001,10832843.181818182,12254609.23,816622811.0,283530715.39828575,204486100.63885713,26599344.803181823,1770108751.0,409105981.1,179980922.7,78945729464.93333,16156269.59,181903358.97000003,72455089.82,134846056.58562502,131638962.8,6610061.712749999,0.0,113567152.07,350098855.98617643,1853344577.396154,5471706536.0,28255796.372094836,352000000.0,35600000.0,99249350.83,39700000.0,888949199.9,165762484.37454545,805713226.3,277144564.6073077,34420000.0,140291965.8,28971935.233628575,5909705121.0,4350652.598,5544595564.0,309743222.73608696,49026817.67,14705286.61,4781586.06163125,9945229.852124998,150228171.9597143,425403589.9,17600000.0,22638302.94095349,7200000.0,1052664836.5296296,1240439.2150507146,173333333.3,2948731042.4444447,1691433333.0,41630596.27,566006600.7,375997849.6,0.0,872002491.4,2003805617.0,68977290.34500001,125859949.7,1335416667.0,989383299.6760001,15749993.7,62036225.055199996,152071972.5534483,347028223.8,3268281165.027234,36133958.33,65138973.39,3050000.0,143079942.8,15863429.19,28281444.93651162,314590871.15576917,7817857.632999999,243480784.6242307,84972008.64,18666471.791708335,13014516.19,180000000.0,122733525.87652174,5673928.012,38464042.715294115,114418614.4,69417913.13571428,52487146.70071428,88079701.2719048,71170214.91833334,336600.3366,1959000.784,143733544.1,235407209.33678573,48266213.25814285,684459726.2,6988120.196,1017240120.0,350279859.9,102043803.8082857,147560023.6,2486926956.3791666,552720552.7,39584375.0,128940568.5,189230769.2,51078391.16768292,7975000000.0,374919807.0,17856349.21,1140566400.0049999,1380000000.0,39031926586.11539,56391167.33989129,429333333.3,87018954.62,135730807.95100003,3792009370.6551023,3297601.3189999997,7508052.995,9000000.0,788731072.7,695390576.2592307,796824574.9769231,454938030.762963,1017260076.0,38166164.85047619,13979386.663911765,194502617.8,178894013.42088237,3435130.6539999996,184903846.2,37223390.9599,94894840.09833331,25717428.57142857,5262500.0,16952380.95,596792035.4,20089991.96,22861542.77,2602827590.411538,480481547.6065958,81443000000.0,123869204.66444445,263636363.6,2180474579.2083335,44163060.89136363,1042873981.8879999,425599829.8,182426444.52066663,42350000.0
